M1450_start M1450_end  z_start    z_end     sel.
 -28.100  -28.000    4.100    4.150   0.9400
 -28.100  -28.000    4.150    4.200   0.9650
 -28.100  -28.000    4.200    4.250   0.9000
 -28.100  -28.000    4.250    4.300   0.6750
 -28.100  -28.000    4.300    4.350   0.4000
 -28.100  -28.000    4.350    4.400   0.3100
 -28.100  -28.000    4.400    4.450   0.4700
 -28.100  -28.000    4.450    4.500   0.8100
 -28.100  -28.000    4.500    4.550   0.9900
 -28.100  -28.000    4.550    4.600   1.0000
 -28.000  -27.900    2.000    2.050   0.0000
 -28.000  -27.900    2.050    2.100   0.0000
 -28.000  -27.900    2.100    2.150   0.0000
 -28.000  -27.900    2.150    2.200   0.0000
 -28.000  -27.900    2.200    2.250   0.0000
 -28.000  -27.900    2.250    2.300   0.0000
 -28.000  -27.900    2.300    2.350   0.0000
 -28.000  -27.900    2.350    2.400   0.0000
 -28.000  -27.900    2.400    2.450   0.0000
 -28.000  -27.900    2.450    2.500   0.0000
 -28.000  -27.900    2.500    2.550   0.0000
 -28.000  -27.900    2.550    2.600   0.0000
 -28.000  -27.900    2.600    2.650   0.0000
 -28.000  -27.900    2.650    2.700   0.0000
 -28.000  -27.900    2.700    2.750   0.0000
 -28.000  -27.900    2.750    2.800   0.0000
 -28.000  -27.900    2.800    2.850   0.0000
 -28.000  -27.900    2.850    2.900   0.0000
 -28.000  -27.900    2.900    2.950   0.0000
 -28.000  -27.900    2.950    3.000   0.0000
 -28.000  -27.900    3.000    3.050   0.0000
 -28.000  -27.900    3.050    3.100   0.0000
 -28.000  -27.900    3.100    3.150   0.0000
 -28.000  -27.900    3.150    3.200   0.0000
 -28.000  -27.900    3.200    3.250   0.0000
 -28.000  -27.900    3.250    3.300   0.0000
 -28.000  -27.900    3.300    3.350   0.0000
 -28.000  -27.900    3.350    3.400   0.0050
 -28.000  -27.900    3.400    3.450   0.0100
 -28.000  -27.900    3.450    3.500   0.0150
 -28.000  -27.900    3.500    3.550   0.0100
 -28.000  -27.900    3.550    3.600   0.0150
 -28.000  -27.900    3.600    3.650   0.0050
 -28.000  -27.900    3.650    3.700   0.0800
 -28.000  -27.900    3.700    3.750   0.2200
 -28.000  -27.900    3.750    3.800   0.4500
 -28.000  -27.900    3.800    3.850   0.7000
 -28.000  -27.900    3.850    3.900   0.8450
 -28.000  -27.900    3.900    3.950   0.9850
 -28.000  -27.900    3.950    4.000   0.9950
 -28.000  -27.900    4.000    4.050   0.9750
 -28.000  -27.900    4.050    4.100   1.0000
 -28.000  -27.900    4.100    4.150   0.9600
 -28.000  -27.900    4.150    4.200   0.8150
 -28.000  -27.900    4.200    4.250   0.5400
 -28.000  -27.900    4.250    4.300   0.4050
 -28.000  -27.900    4.300    4.350   0.6350
 -28.000  -27.900    4.350    4.400   0.8650
 -28.000  -27.900    4.400    4.450   0.9250
 -28.000  -27.900    4.450    4.500   0.9650
 -28.000  -27.900    4.500    4.550   0.9800
 -28.000  -27.900    4.550    4.600   1.0000
 -27.900  -27.800    2.000    2.050   0.0000
 -27.900  -27.800    2.050    2.100   0.0000
 -27.900  -27.800    2.100    2.150   0.0000
 -27.900  -27.800    2.150    2.200   0.0000
 -27.900  -27.800    2.200    2.250   0.0000
 -27.900  -27.800    2.250    2.300   0.0000
 -27.900  -27.800    2.300    2.350   0.0000
 -27.900  -27.800    2.350    2.400   0.0000
 -27.900  -27.800    2.400    2.450   0.0000
 -27.900  -27.800    2.450    2.500   0.0000
 -27.900  -27.800    2.500    2.550   0.0000
 -27.900  -27.800    2.550    2.600   0.0000
 -27.900  -27.800    2.600    2.650   0.0000
 -27.900  -27.800    2.650    2.700   0.0000
 -27.900  -27.800    2.700    2.750   0.0000
 -27.900  -27.800    2.750    2.800   0.0000
 -27.900  -27.800    2.800    2.850   0.0000
 -27.900  -27.800    2.850    2.900   0.0000
 -27.900  -27.800    2.900    2.950   0.0000
 -27.900  -27.800    2.950    3.000   0.0050
 -27.900  -27.800    3.000    3.050   0.0000
 -27.900  -27.800    3.050    3.100   0.0000
 -27.900  -27.800    3.100    3.150   0.0050
 -27.900  -27.800    3.150    3.200   0.0050
 -27.900  -27.800    3.200    3.250   0.0050
 -27.900  -27.800    3.250    3.300   0.0200
 -27.900  -27.800    3.300    3.350   0.0400
 -27.900  -27.800    3.350    3.400   0.1250
 -27.900  -27.800    3.400    3.450   0.1500
 -27.900  -27.800    3.450    3.500   0.1800
 -27.900  -27.800    3.500    3.550   0.1800
 -27.900  -27.800    3.550    3.600   0.2550
 -27.900  -27.800    3.600    3.650   0.4250
 -27.900  -27.800    3.650    3.700   0.7650
 -27.900  -27.800    3.700    3.750   0.9000
 -27.900  -27.800    3.750    3.800   0.9700
 -27.900  -27.800    3.800    3.850   0.9750
 -27.900  -27.800    3.850    3.900   0.9950
 -27.900  -27.800    3.900    3.950   0.9900
 -27.900  -27.800    3.950    4.000   0.9750
 -27.900  -27.800    4.000    4.050   0.9450
 -27.900  -27.800    4.050    4.100   0.9000
 -27.900  -27.800    4.100    4.150   0.8300
 -27.900  -27.800    4.150    4.200   0.7650
 -27.900  -27.800    4.200    4.250   0.8200
 -27.900  -27.800    4.250    4.300   0.8900
 -27.900  -27.800    4.300    4.350   0.9600
 -27.900  -27.800    4.350    4.400   0.9300
 -27.900  -27.800    4.400    4.450   0.8950
 -27.900  -27.800    4.450    4.500   0.9400
 -27.900  -27.800    4.500    4.550   0.9850
 -27.900  -27.800    4.550    4.600   1.0000
 -27.800  -27.700    2.000    2.050   0.0000
 -27.800  -27.700    2.050    2.100   0.0000
 -27.800  -27.700    2.100    2.150   0.0000
