Title: Self-Consistent Models of the Agn and Black Hole Populations: Duty 
       Cycles, Accretion Rates, and the Mean Radiative Efficiency  
Authors: Shankar F., Weinberg D.H., Miralda-Escude J. 
Table: Black Hole Mass Functions
================================================================================
Byte-by-byte Description of file: apj290759t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label    Explanations
--------------------------------------------------------------------------------
   1-  8 F8.6   ---       z        Redshift
  10- 17 F8.6   [solMass] logM     Log of black hole mass 
  19- 27 F9.6   [Mpc-3]   logP     Log reference black hole mass function
  29- 37 F9.6   [Mpc-3]   logPnoCT Log reference black hole mass function with
                                    no Compton-thick sources (1)
  39- 47 F9.6   [Mpc-3]   logPDCT  Log reference black hole mass function with
                                    double Compton-thick sources (2)
  49- 57 F9.6   [Mpc-3]   logPHRH  Log reference black hole mass function 
                                    with HRH07 luminosity function (3)
  59- 67 F9.6   [Mpc-3]   logPExt  Log reference black hole mass function with
                                    modified HRH07 (4)
--------------------------------------------------------------------------------
Note (1): (i.e., with logNH/cm^−2^ > 24).
Note (2): (i.e., with logNH/cm^−2^ {<=} 26).
Note (3): where HRH07 is Hopkins, Richards & Hernquist (2007).
Note (4): Obtained adopting the Hopkins, Richards & Hernquist (2007) luminosity
          function with {epsilon} = 0.09 and mdot = 1, as in Figure 8d.
--------------------------------------------------------------------------------
1.250000 6.000000 -2.792230 -2.919458 -2.676255 -2.303623 -2.253450 
1.250000 6.200000 -2.902750 -3.029968 -2.786718 -2.390624 -2.339504 
1.250000 6.400000 -3.004083 -3.131591 -2.887812 -2.477292 -2.425002 
1.250000 6.600000 -3.086863 -3.217022 -2.968986 -2.563564 -2.509735 
1.250000 6.800000 -3.135876 -3.274483 -3.013143 -2.649320 -2.593337 
1.250000 7.000000 -3.146725 -3.293734 -3.019322 -2.734325 -2.675099 
1.250000 7.200000 -3.132767 -3.278890 -3.005785 -2.818166 -2.753765 
1.250000 7.400000 -3.107262 -3.246547 -2.983697 -2.900081 -2.827064 
1.250000 7.600000 -3.085621 -3.216927 -2.964728 -2.978673 -2.891419 
1.250000 7.800000 -3.076745 -3.199962 -2.956909 -3.051497 -2.943003 
1.250000 8.000000 -3.088924 -3.205902 -2.971997 -3.114676 -2.983015 
1.250000 8.200000 -3.140688 -3.254433 -3.030061 -3.164653 -3.028616 
1.250000 8.400000 -3.235540 -3.347197 -3.132011 -3.204436 -3.115081 
1.250000 8.600000 -3.361749 -3.470981 -3.264356 -3.253570 -3.277691 
1.250000 8.800000 -3.535994 -3.642549 -3.443040 -3.348440 -3.528023 
1.250000 9.000000 -3.787451 -3.891275 -3.697397 -3.523028 -3.850531 
1.250000 9.200000 -4.099307 -4.200171 -4.011477 -3.784904 -4.218066 
1.250000 9.400000 -4.434637 -4.532347 -4.348901 -4.114790 -4.608385 
1.250000 9.600000 -4.775533 -4.870028 -4.691907 -4.486188 -5.008112 
1.490000 5.000000 -2.310802 -2.437473 -2.193717 -2.033293 -1.979865 
1.490000 5.200000 -2.440241 -2.566890 -2.323111 -2.116924 -2.062950 
1.490000 5.400000 -2.566029 -2.692654 -2.448851 -2.200340 -2.145803 
1.490000 5.600000 -2.688390 -2.814991 -2.571164 -2.283537 -2.228406 
1.490000 5.800000 -2.807447 -2.934021 -2.690167 -2.366509 -2.310727 
1.490000 6.000000 -2.922881 -3.049427 -2.805546 -2.449246 -2.392719 
1.490000 6.200000 -3.033148 -3.159678 -2.915744 -2.531736 -2.474304 
1.490000 6.400000 -3.134246 -3.261053 -3.016589 -2.613945 -2.555349 
1.490000 6.600000 -3.216964 -3.346369 -3.097706 -2.695805 -2.635642 
1.490000 6.800000 -3.266348 -3.404053 -3.142280 -2.777188 -2.714821 
1.490000 7.000000 -3.278033 -3.424010 -3.149327 -2.857851 -2.792224 
1.490000 7.200000 -3.265137 -3.410248 -3.136833 -2.937389 -2.866729 
1.490000 7.400000 -3.241123 -3.379612 -3.116396 -3.015084 -2.936360 
1.490000 7.600000 -3.224094 -3.355534 -3.103199 -3.089688 -2.998001 
1.490000 7.800000 -3.229692 -3.354849 -3.111703 -3.159068 -3.048010 
1.490000 8.000000 -3.262022 -3.380929 -3.145139 -3.219818 -3.086057 
1.490000 8.200000 -3.312368 -3.425048 -3.196281 -3.268373 -3.125275 
1.490000 8.400000 -3.373653 -3.482167 -3.262407 -3.305736 -3.198885 
1.490000 8.600000 -3.457822 -3.564212 -3.354574 -3.347353 -3.346197 
1.490000 8.800000 -3.604498 -3.709014 -3.507611 -3.428431 -3.583850 
1.490000 9.000000 -3.844580 -3.946776 -3.751381 -3.587765 -3.897526 
1.490000 9.200000 -4.153543 -4.252896 -4.062755 -3.837631 -4.258913 
1.490000 9.400000 -4.488554 -4.584768 -4.399878 -4.159282 -4.644528 
1.490000 9.600000 -4.829528 -4.922524 -4.742956 -4.524931 -5.040276 
1.760000 5.000000 -2.446678 -2.572741 -2.328377 -2.217898 -2.158280 
1.760000 5.200000 -2.576063 -2.702096 -2.457702 -2.296852 -2.236783 
1.760000 5.400000 -2.701756 -2.827757 -2.583332 -2.375629 -2.315089 
1.760000 5.600000 -2.823969 -2.949937 -2.705479 -2.454229 -2.393177 
1.760000 5.800000 -2.942808 -3.068741 -2.824250 -2.532649 -2.471009 
1.760000 6.000000 -3.057946 -3.183844 -2.939315 -2.610880 -2.548526 
1.760000 6.200000 -3.167860 -3.293732 -3.049141 -2.688906 -2.625630 
1.760000 6.400000 -3.268628 -3.394759 -3.149639 -2.766689 -2.702168 
1.760000 6.600000 -3.351261 -3.479914 -3.230676 -2.844148 -2.777895 
1.760000 6.800000 -3.401163 -3.537911 -3.275834 -2.921132 -2.852425 
1.760000 7.000000 -3.414023 -3.558855 -3.284100 -2.997364 -2.925088 
1.760000 7.200000 -3.402603 -3.546580 -3.273028 -3.072402 -2.994818 
1.760000 7.400000 -3.380121 -3.517574 -3.254032 -3.145521 -3.059854 
1.760000 7.600000 -3.364596 -3.495096 -3.242295 -3.215530 -3.117585 
1.760000 7.800000 -3.372429 -3.496950 -3.253383 -3.280531 -3.165188 
1.760000 8.000000 -3.412095 -3.531514 -3.295640 -3.337671 -3.202745 
1.760000 8.200000 -3.479309 -3.593722 -3.364455 -3.384193 -3.241508 
1.760000 8.400000 -3.547330 -3.655919 -3.433739 -3.421192 -3.310765 
1.760000 8.600000 -3.604252 -3.707941 -3.494793 -3.461781 -3.448559 
1.760000 8.800000 -3.715634 -3.816766 -3.612114 -3.537322 -3.674642 
1.760000 9.000000 -3.937210 -4.036320 -3.838056 -3.686207 -3.977742 
1.760000 9.200000 -4.241025 -4.337477 -4.144588 -3.924369 -4.330240 
1.760000 9.400000 -4.575449 -4.668792 -4.481161 -4.235738 -4.708215 
1.760000 9.600000 -4.916573 -5.006690 -4.824372 -4.592849 -5.097094 
2.000000 5.000000 -2.558805 -2.684409 -2.439586 -2.376571 -2.312629 
2.000000 5.200000 -2.688132 -2.813696 -2.568836 -2.451859 -2.387545 
2.000000 5.400000 -2.813721 -2.939246 -2.694345 -2.526999 -2.462284 
2.000000 5.600000 -2.935771 -3.061253 -2.816312 -2.601992 -2.536821 
2.000000 5.800000 -3.054371 -3.179811 -2.934825 -2.676836 -2.611109 
2.000000 6.000000 -3.169187 -3.294581 -3.049551 -2.751524 -2.685073 
2.000000 6.200000 -3.278716 -3.404074 -3.158973 -2.826037 -2.758594 
2.000000 6.400000 -3.379123 -3.504723 -3.259093 -2.900327 -2.831488 
2.000000 6.600000 -3.461662 -3.589703 -3.340043 -2.974297 -2.903470 
2.000000 6.800000 -3.512130 -3.648039 -3.385836 -3.047765 -2.974113 
2.000000 7.000000 -3.526277 -3.670061 -3.395433 -3.120404 -3.042711 
2.000000 7.200000 -3.516481 -3.659417 -3.385923 -3.191725 -3.108218 
2.000000 7.400000 -3.495697 -3.632210 -3.368518 -3.260955 -3.169020 
2.000000 7.600000 -3.481783 -3.611419 -3.358289 -3.326917 -3.222958 
2.000000 7.800000 -3.491119 -3.614813 -3.370790 -3.387874 -3.268140 
2.000000 8.000000 -3.532372 -3.651038 -3.414661 -3.441472 -3.305904 
2.000000 8.200000 -3.602478 -3.716585 -3.487056 -3.485943 -3.347657 
2.000000 8.400000 -3.675884 -3.784936 -3.562891 -3.523508 -3.420105 
2.000000 8.600000 -3.733873 -3.837409 -3.623719 -3.567069 -3.557572 
