  3.75000   -28.35000        Infinity        Infinity********            -NaN
  3.75000   -28.05000        Infinity        Infinity********            -NaN
  3.75000   -27.45000        Infinity        Infinity********            -NaN
  3.75000   -27.15000    2.106184e-08     -7.15362493     261    4.338158e-09
  3.75000   -26.85000    9.931906e-09     -7.48008867     123    2.979021e-09
  3.75000   -26.55000    8.589908e-09     -7.54313278     106    2.770457e-09
  3.75000   -26.25000    9.023178e-09     -7.52176173     112    2.839468e-09
  3.75000   -25.95000    3.494980e-08     -6.93367657     434    5.588298e-09
  3.75000   -25.65000    1.546513e-08     -7.28776766     192    3.717355e-09
  3.75000   -25.35000        Infinity        Infinity********            -NaN
